tag,tag_id,category,count
access to basic services,3,Access & Equity,16
water,295,Water & WASH,5
woman empowerment,298,"Social Inclusion, Gender & Human Development",2
education,107,Education & Skills,7
employment,110,"Economy, Markets & Private Sector",13
empowerment,111,"Social Inclusion, Gender & Human Development",3
disabilities,94,"Social Inclusion, Gender & Human Development",7
policy innovation,210,"Governance, Policy & Public Sector",9
better livelihood,26,"Economy, Markets & Private Sector",10
migration,186,Migration & Human Mobility,3
digital inclusion,83,"Social Inclusion, Gender & Human Development",22
digital literacy,84,"Technology, Data & Digital",6
"micro, small, medium enterprises",185,"Economy, Markets & Private Sector",8
geolocalization,872,"Governance, Policy & Public Sector",1
geospatial,748,"Technology, Data & Digital",1
gis,4113,"Technology, Data & Digital",2
satellite images,4046,"Technology, Data & Digital",2
private sector engagement,214,"Economy, Markets & Private Sector",9
socio-economic impact and needs assessment,254,"Economy, Markets & Private Sector",4
sustainability strategy,260,Ecosystems & Biodiversity,3
governance,144,"Governance, Policy & Public Sector",9
innovation,170,"Methods, Innovation & Foresight",16
social protection,253,"Social Inclusion, Gender & Human Development",3
active citizenship,7,"Governance, Policy & Public Sector",7
portfolio approach,212,"Methods, Innovation & Foresight",19
strategic foresight,4238,"Methods, Innovation & Foresight",3
circular economy,40,Waste & Circular Economy,31
green economy,148,"Economy, Markets & Private Sector",8
food waste management,134,Waste & Circular Economy,5
participatory solutions,199,"Governance, Policy & Public Sector",4
food system,2661,Agriculture & Food Systems,4
participatory governance,198,"Governance, Policy & Public Sector",8
sustainable tourism,4133,"Culture, Arts & Tourism",9
institutional reform,174,UNDP / Institutional,4
public health,220,Health,4
street-level bureaucrats,259,"Governance, Policy & Public Sector",1
access to information,4,Access & Equity,12
behavioral change,24,"Methods, Innovation & Foresight",14
health,152,Health,3
informal employment,167,"Economy, Markets & Private Sector",10
informality,169,"Economy, Markets & Private Sector",8
building trust in government,35,"Governance, Policy & Public Sector",3
digital transformation,90,"Technology, Data & Digital",22
government innovation,147,"Governance, Policy & Public Sector",17
climate change,50,Climate & Resilience,21
energy,112,Energy,2
evidence driven,121,"Methods, Innovation & Foresight",1
research,237,"Methods, Innovation & Foresight",3
collective intelligence,4442,"Methods, Innovation & Foresight",9
financial inclusion,125,"Social Inclusion, Gender & Human Development",8
Financial support for the communities,5965,Finance & Investment,1
fin-tech,123,"Technology, Data & Digital",3
fintech,126,"Technology, Data & Digital",3
inclusive insurance,10542,"Social Inclusion, Gender & Human Development",2
innovation challenges,171,"Methods, Innovation & Foresight",17
innovative financing,3214,"Methods, Innovation & Foresight",6
private sector,1215,"Economy, Markets & Private Sector",2
Sustainable Finance,6846,Finance & Investment,2
knowledge management,176,"Methods, Innovation & Foresight",3
quality education,227,Education & Skills,4
social innovation,19646,"Methods, Innovation & Foresight",1
anticipatory governance,4020,"Governance, Policy & Public Sector",1
digital government,4259,"Governance, Policy & Public Sector",4
institutional capacity,739,UNDP / Institutional,2
public policy planning,221,"Governance, Policy & Public Sector",8
public sector innovation,222,"Governance, Policy & Public Sector",26
public services,223,"Governance, Policy & Public Sector",7
system thinking,264,"Methods, Innovation & Foresight",7
recovery and reconstruction,10496,Disaster Risk Management & Humanitarian,1
Sustainable Investment,6957,Finance & Investment,1
food security,131,Agriculture & Food Systems,8
smart farming,1826,Agriculture & Food Systems,2
sustainable land managemnt,4139,Ecosystems & Biodiversity,1
private sector support,2976,"Economy, Markets & Private Sector",4
sustainable financing,4018,Finance & Investment,4
"circular economy, techonology",41,Waste & Circular Economy,5
community resilience,64,Climate & Resilience,14
inclusive economic development,162,"Economy, Markets & Private Sector",8
alternative finance,18,Finance & Investment,7
ecosystem strengthening,6349,Ecosystems & Biodiversity,2
cultural heritage,72,"Culture, Arts & Tourism",1
traditional knowledge,273,"Social Inclusion, Gender & Human Development",1
Behavior Change,6758,"Methods, Innovation & Foresight",1
experimental desgin,8559,"Methods, Innovation & Foresight",2
litter,8558,Waste & Circular Economy,1
marine litter,181,Oceans & Coasts,2
AI,10858,"Technology, Data & Digital",4
digital education,2031,Education & Skills,3
media literacy,19688,"Technology, Data & Digital",1
missinformation,19689,"Technology, Data & Digital",1
youth empowerment,305,"Social Inclusion, Gender & Human Development",7
ai systems,4716,"Technology, Data & Digital",3
digital solutions,89,"Technology, Data & Digital",9
water management,297,Water & WASH,5
digital,79,"Technology, Data & Digital",10
digital finance,10540,"Technology, Data & Digital",1
digital payments,4261,"Technology, Data & Digital",2
solid waste management,256,Waste & Circular Economy,10
system transformation,265,"Methods, Innovation & Foresight",11
cimate change adaptation,4572,Climate & Resilience,1
Poverty,1734,"Social Inclusion, Gender & Human Development",3
inclusive education,2355,Education & Skills,1
people with disabilities,203,"Social Inclusion, Gender & Human Development",7
solutions mapping,3920,"Methods, Innovation & Foresight",5
community relience,1211,Civic & Community Participation,5
participatory design,770,"Governance, Policy & Public Sector",4
3d printing,1193,"Technology, Data & Digital",1
capacity building,4479,"Methods, Innovation & Foresight",5
technology,266,"Technology, Data & Digital",8
