category,canonical_keyword,original_keyword,id
Access & Equity,access,access,2
Access & Equity,access to basic services,access to basic services,3
Access & Equity,access to information,access to information,4
Access & Equity,access to quality and safety standards,access to quality and safety standards,4120
Access & Equity,accessibility,accessibility,6
Access & Equity,affordability,affordability,9
Agriculture & Food Systems,affordable agricultural & industrial machineries,affordable agricultural & industrial machineries,10
Agriculture & Food Systems,agricultural data,agricultural data,10606
Agriculture & Food Systems,agricultural development,Agricultiural development,5048
Agriculture & Food Systems,agricultural education,Agricultural Education,10929
Agriculture & Food Systems,agricultural innovative technologies,Agricaultural innovative technologies,10939
Agriculture & Food Systems,agricultural investment,agricultural investment,10780
Agriculture & Food Systems,agricultural mechanization,agricultural mechanization,1572
Agriculture & Food Systems,agriculture,agriculture,13
Agriculture & Food Systems,agriculture production,Agriculture Production,4734
Agriculture & Food Systems,"agriculture, cooperativism","agriculture, cooperativism",4126
Agriculture & Food Systems,agrifood industry,Agrifood Industry,10943
Agriculture & Food Systems,agritourism,agritourism,3564
Agriculture & Food Systems,agrotech,agrotech,14
Agriculture & Food Systems,agtech,agtech,15
Agriculture & Food Systems,ai in agriculture,AI in Agriculture,10904
Agriculture & Food Systems,coffee,coffee,1538
Agriculture & Food Systems,digital agriculture,digital agriculture,19557
Agriculture & Food Systems,digitalagriculture,digitalagriculture,5561
Agriculture & Food Systems,fair and clean food,fair and clean food,1426
Agriculture & Food Systems,farmer-herder conflicts,farmer-herder conflicts,4236
Agriculture & Food Systems,food,food,128
Agriculture & Food Systems,food preservation,food preservation,129
Agriculture & Food Systems,food processing,food processing,130
Agriculture & Food Systems,food rescue,food rescue,4441
Agriculture & Food Systems,food security,food security,131
Agriculture & Food Systems,food system,food system,2661
Agriculture & Food Systems,food value chains,food value chains,132
Agriculture & Food Systems,hydroponic,hydroponic,1445
Agriculture & Food Systems,hydroponic farming,hydroponic farming,1660
Agriculture & Food Systems,increased agricultural production,increased agricultural production,2337
Agriculture & Food Systems,irrigation,irrigation,932
Agriculture & Food Systems,livestock production,livestock production,921
Agriculture & Food Systems,natural farming,natural farming,1425
Agriculture & Food Systems,organic production,organic production,196
Agriculture & Food Systems,pest control,pest control,204
Agriculture & Food Systems,planting,planting,205
Agriculture & Food Systems,rural development,rural development,241
Agriculture & Food Systems,rurality,rurality,243
Agriculture & Food Systems,small holder farmers,small holder farmers,4712
Agriculture & Food Systems,smart farming,smart farming,1826
Agriculture & Food Systems,sustainable agriculture,sustainable agriculture,261
Agriculture & Food Systems,sustainable agriculture practices,Sustainable Agriculture Practices,10947
Agriculture & Food Systems,sustainable home gardens,sustainable home gardens,262
Agriculture & Food Systems,urban farming,urban farming,1018
Agriculture & Food Systems,value chain,value chain,286
Agriculture & Food Systems,women in agriculture,women in agriculture,838
Civic & Community Participation,activism,activism,8
Civic & Community Participation,advocacy,advocacy,4641
Civic & Community Participation,civil participation,civil participation,4316
Civic & Community Participation,commons,commons,56
Civic & Community Participation,communication,communication,57
Civic & Community Participation,community,community,1870
Civic & Community Participation,community development,Community development,4985
Civic & Community Participation,community empowerment,community empowerment,59
Civic & Community Participation,community engagement,community engagement,762
Civic & Community Participation,community hub for local solutions,community hub for local solutions,60
Civic & Community Participation,community involment,community  involment,935
Civic & Community Participation,community involment,community involment,61
Civic & Community Participation,community involvement,community involvement,62
Civic & Community Participation,community organizing,community organizing,63
Civic & Community Participation,community project,community project,4121
Civic & Community Participation,community projects,Community Projects,6071
Civic & Community Participation,community relience,community relience,1211
Civic & Community Participation,grassroot solutions,grassroot solutions,738
Civic & Community Participation,sharing information,sharing information,3080
Civic & Community Participation,social media campaign,Social media campaign,1174
Civic & Community Participation,volunteering,volunteering,289
Climate & Resilience,adaptation,adaptation,4709
Climate & Resilience,adaptation action at the local level,Adaptation action at the local level,5983
Climate & Resilience,adaptation to the impacts of climate change,Adaptation to the impacts of climate change,5876
Climate & Resilience,agri-food resilience,agri-food resilience,765
Climate & Resilience,carbon sequestration,carbo sequestration,10876
Climate & Resilience,climate,climate,4334
Climate & Resilience,climate action,climate action,4092
Climate & Resilience,climate action and sustainable cities and communities,Climate Action and Sustainable Cities and Communities,5607
Climate & Resilience,climate action plan,Climate action plan,6334
Climate & Resilience,climate action tracker,Climate Action Tracker,6869
Climate & Resilience,climate adaptation,climate adaptation,4434
Climate & Resilience,climate change,climate change,50
Climate & Resilience,climate change adaptation,adaptacion al cambio climatico,4574
Climate & Resilience,climate change adaptation,cimate change adaptation,4572
